experiment,query,sf,n_requested,n_actual,combo,flags,fetch_median,fetch_std,logic_median,logic_std,total_median,total_std,total_cv,n_repeats,sql_baseline_median,speedup,valid
flag_ablation,Q1,1.0,61,61,GD,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.03168,0.00133,0.00123,5e-05,0.03291,0.0013,0.0396,5,0.86606,26.3162,True
flag_ablation,Q1,1.0,61,61,SGDA,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,0.86606,0.01777,0.86606,0.01777,0.0205,5,0.86606,1.0,True
flag_ablation,Q1,1.0,61,61,GD,"opt_precompute=off,opt_encode_group=on,opt_presort=on",0.0309,0.00419,0.00118,7e-05,0.03212,0.00426,0.1327,5,0.88905,27.6795,True
flag_ablation,Q1,1.0,61,61,SGDA,"opt_precompute=off,opt_encode_group=on,opt_presort=on",0.0,0.0,0.88905,0.00881,0.88905,0.00881,0.0099,5,0.88905,1.0,True
flag_ablation,Q1,1.0,61,61,GD,"opt_precompute=on,opt_encode_group=off,opt_presort=on",0.03162,0.0005,0.00123,0.00095,0.03307,0.00127,0.0384,5,0.88513,26.7682,True
flag_ablation,Q1,1.0,61,61,SGDA,"opt_precompute=on,opt_encode_group=off,opt_presort=on",0.0,0.0,0.88513,0.01049,0.88513,0.01049,0.0118,5,0.88513,1.0,True
flag_ablation,Q1,1.0,61,61,GD,"opt_precompute=on,opt_encode_group=on,opt_presort=off",0.03062,0.00129,0.0012,2e-05,0.03185,0.00128,0.0401,5,0.88065,27.6524,True
flag_ablation,Q1,1.0,61,61,SGDA,"opt_precompute=on,opt_encode_group=on,opt_presort=off",0.0,0.0,0.88065,0.03217,0.88065,0.03217,0.0365,5,0.88065,1.0,True
flag_ablation,Q1,1.0,61,61,GD,"opt_precompute=off,opt_encode_group=off,opt_presort=off",0.03086,0.00133,0.00119,2e-05,0.03204,0.00135,0.042,5,0.87546,27.3227,True
flag_ablation,Q1,1.0,61,61,SGDA,"opt_precompute=off,opt_encode_group=off,opt_presort=off",0.0,0.0,0.87546,0.02058,0.87546,0.02058,0.0235,5,0.87546,1.0,True
flag_ablation,Q3,1.0,31,155,(none),"opt_precompute=on,opt_encode_seg=on,opt_presort=on",0.21741,0.03024,0.58591,0.01566,0.81433,0.03825,0.047,5,1.9127,2.3488,True
