experiment,query,sf,n_requested,n_actual,combo,flags,fetch_median,fetch_std,logic_median,logic_std,total_median,total_std,total_cv,n_repeats,sql_baseline_median,speedup,valid
n_scaling,Q1,1.0,1,1,(none),"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.331,0.00918,0.02725,0.00421,0.35807,0.01326,0.037,5,0.01405,0.0392,True
n_scaling,Q1,1.0,1,1,G,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.29252,0.00578,0.029,0.00082,0.32251,0.0057,0.0177,5,0.01405,0.0436,True
n_scaling,Q1,1.0,1,1,S,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,1.65433,0.04552,1.65433,0.04552,0.0275,5,0.01405,0.0085,True
n_scaling,Q1,1.0,1,1,GD,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.03741,0.00373,6e-05,2e-05,0.03747,0.00374,0.0999,5,0.01405,0.3749,True
n_scaling,Q1,1.0,1,1,SG,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,0.49931,0.0834,0.49931,0.0834,0.167,5,0.01405,0.0281,True
n_scaling,Q1,1.0,1,1,SGD,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,0.01426,0.00084,0.01426,0.00084,0.059,5,0.01405,0.9852,True
n_scaling,Q1,1.0,1,1,SGDA,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,0.01405,0.00329,0.01405,0.00329,0.2343,5,0.01405,1.0,True
n_scaling,Q1,1.0,2,2,(none),"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.27207,0.00533,0.05599,0.00334,0.32833,0.00685,0.0209,5,0.03095,0.0943,True
n_scaling,Q1,1.0,2,2,G,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.25026,0.00059,0.0549,0.00063,0.30482,0.00113,0.0037,5,0.03095,0.1015,True
n_scaling,Q1,1.0,2,2,S,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,2.33203,0.01556,2.33203,0.01556,0.0067,5,0.03095,0.0133,True
n_scaling,Q1,1.0,2,2,GD,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.03344,0.00162,8e-05,0.0,0.03351,0.00162,0.0483,5,0.03095,0.9235,True
n_scaling,Q1,1.0,2,2,SG,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,0.86131,0.01187,0.86131,0.01187,0.0138,5,0.03095,0.0359,True
n_scaling,Q1,1.0,2,2,SGD,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,0.02545,0.0009,0.02545,0.0009,0.0355,5,0.03095,1.2159,True
