experiment,query,sf,n_requested,n_actual,combo,flags,fetch_median,fetch_std,logic_median,logic_std,total_median,total_std,total_cv,n_repeats,sql_baseline_median,speedup,valid
sf_scaling,Q1,1.0,32,32,GD,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.05047,0.00295,0.00246,0.00019,0.05318,0.00292,0.0549,5,0.80474,15.1328,True
sf_scaling,Q1,1.0,32,32,SGDA,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,0.80474,0.03807,0.80474,0.03807,0.0473,5,0.80474,1.0,True
sf_scaling,Q1,2.0,32,32,GD,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.08166,0.00198,0.00267,0.00038,0.08467,0.00174,0.0205,5,1.25466,14.8186,True
sf_scaling,Q1,2.0,32,32,SGDA,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,1.25466,0.02428,1.25466,0.02428,0.0194,5,1.25466,1.0,True
sf_scaling,Q1,4.0,32,32,GD,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.14634,0.00329,0.0023,4e-05,0.14862,0.00329,0.0221,5,2.30588,15.5149,True
sf_scaling,Q1,4.0,32,32,SGDA,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,2.30588,0.11185,2.30588,0.11185,0.0485,5,2.30588,1.0,True
sf_scaling,Q1,8.0,32,32,GD,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.28887,0.00442,0.00235,0.00018,0.29121,0.00455,0.0156,5,4.66606,16.0228,True
sf_scaling,Q1,8.0,32,32,SGDA,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,4.66606,0.08782,4.66606,0.08782,0.0188,5,4.66606,1.0,True
sf_scaling,Q1,16.0,32,32,GD,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.54953,0.00855,0.00233,0.00062,0.55243,0.00846,0.0153,5,9.23397,16.7151,True
sf_scaling,Q1,16.0,32,32,SGDA,"opt_precompute=on,opt_encode_group=on,opt_presort=on",0.0,0.0,9.23397,0.1835,9.23397,0.1835,0.0199,5,9.23397,1.0,True
sf_scaling,Q3,1.0,32,160,(none),"opt_precompute=on,opt_encode_seg=on,opt_presort=on",0.97286,0.01718,1.44433,0.0281,2.41379,0.04483,0.0186,5,4.85325,2.0106,True
sf_scaling,Q3,1.0,32,160,CDG,"opt_precompute=on,opt_encode_seg=on,opt_presort=on",0.0,0.0,4.85325,0.10014,4.85325,0.10014,0.0206,5,4.85325,1.0,True
sf_scaling,Q3,2.0,32,160,(none),"opt_precompute=on,opt_encode_seg=on,opt_presort=on",1.88741,0.03335,2.97739,0.28503,4.89424,0.26486,0.0541,5,7.90792,1.6158,True
sf_scaling,Q3,2.0,32,160,CDG,"opt_precompute=on,opt_encode_seg=on,opt_presort=on",0.0,0.0,7.90792,0.14842,7.90792,0.14842,0.0188,5,7.90792,1.0,True
sf_scaling,Q3,4.0,32,160,(none),"opt_precompute=on,opt_encode_seg=on,opt_presort=on",3.76175,0.05112,6.49329,0.60032,10.25504,0.55914,0.0545,5,15.3187,1.4938,True
sf_scaling,Q3,4.0,32,160,CDG,"opt_precompute=on,opt_encode_seg=on,opt_presort=on",0.0,0.0,15.3187,0.47283,15.3187,0.47283,0.0309,5,15.3187,1.0,True
sf_scaling,Q3,8.0,32,160,(none),"opt_precompute=on,opt_encode_seg=on,opt_presort=on",7.36453,0.02866,12.83593,1.08095,20.19031,1.07249,0.0531,5,18.14151,0.8985,True
sf_scaling,Q3,8.0,32,160,CDG,"opt_precompute=on,opt_encode_seg=on,opt_presort=on",0.0,0.0,18.14151,0.68408,18.14151,0.68408,0.0377,5,18.14151,1.0,True
sf_scaling,Q3,16.0,32,160,(none),"opt_precompute=on,opt_encode_seg=on,opt_presort=on",14.70458,0.12424,32.80283,1.39934,47.50454,1.38531,0.0292,5,85.1973,1.7935,True
sf_scaling,Q3,16.0,32,160,CDG,"opt_precompute=on,opt_encode_seg=on,opt_presort=on",0.0,0.0,85.1973,44.79906,85.1973,44.79906,0.5258,5,85.1973,1.0,True
sf_scaling,Q4,1.0,32,128,E,"opt_presort_orders=on,opt_encode_priority=on",0.186,0.0246,0.14915,0.00126,0.33515,0.02481,0.074,5,3.60313,10.7507,True
sf_scaling,Q4,1.0,32,128,EJDG,"opt_presort_orders=on,opt_encode_priority=on",0.0,0.0,3.60313,0.04662,3.60313,0.04662,0.0129,5,3.60313,1.0,True
sf_scaling,Q4,2.0,32,128,E,"opt_presort_orders=on,opt_encode_priority=on",0.41884,0.01874,0.29299,0.00273,0.71183,0.01961,0.0275,5,5.7115,8.0237,True
sf_scaling,Q4,2.0,32,128,EJDG,"opt_presort_orders=on,opt_encode_priority=on",0.0,0.0,5.7115,0.07782,5.7115,0.07782,0.0136,5,5.7115,1.0,True
sf_scaling,Q4,4.0,32,128,E,"opt_presort_orders=on,opt_encode_priority=on",0.76864,0.0228,0.57707,0.00254,1.34571,0.02297,0.0171,5,9.93313,7.3814,True
